source,title,chunk_id,source_type,content
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",11,research,"This survey targets a wide view of the interaction between Generative AI and LLMs and the video field. It covers more than 100 papers collected from Google Scholar, IEEE Xplore, ACM Digital Library, Elsevier, ScienceDirect, DBLP, etc. The queries combine the following keywords: Generative AI / LLM & \& & Video Understanding / Segmentation / Generation / Streaming, and the keywords related to the key technologies discussed in Section 3. We further complement the articles by adding prominent research featured on the Internet to cover a comprehensive set of important publications in this area. This process was continued until no new articles were found. We have carefully examined the papers and selected the most relevant and important articles while filtering out the less relevant ones. The selected papers form the core of this survey, and we have performed continuous updates during the survey writing process to cover papers published since the start of our process"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",12,research,". Note that due to the rapid development and large number of publications in relevant fields in 2023, there might be some good new papers we overlooked; however, we have made our best efforts."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",13,research,3 Overview
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",14,research,"We envision Generative AI and LLMs play key roles in the full life cycle of video, from generation, and understanding, to streaming. The framework crosses three major computer science communities, i.e., AI, Multimedia, and Networking. AI community is witnessing an unprecedented development rate that takes only roughly a year from models capable of text-to-image generation to those capable of text-to-video generation, from 2021 to 2022. Now there are even demos showing the ability to create 3D videos just by using prompts. Therefore, we can only imagine Generative AI becoming more important for the video generation industry, outrunning or even replacing entirely the conventional generation methodologies. Video understanding is useful for many cases, e.g., scene segmentation, activity monitoring, event detection, and, video captioning, a rising direction that gets increasing attention"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",15,research,". Since 2023, the LLMs’ capabilities of understanding multimodal input such as images and videos have also been significantly promoted by the most advanced products like GPT-4 and Video-ChatGPT. As for video streaming, LLMs also hold interesting potential to improve several key steps of the streaming pipeline. For instance, a model with improved understanding capability can grasp the semantic meaning of the video scenes and optimize the transmission by varying the encoding rate accordingly. Further, 3D video streaming such as point cloud which is widely used in XR games, can benefit from LLM’s understanding of the surroundings to predict the user’s FoV in the next moment to conduct content pre-fetching."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",16,research,"3.1 Main Components
The synergy between Generative AI and LLMs has opened new frontiers in video generation, crafting visuals that are increasingly indistinguishable from reality. These technologies work together to enrich the digital landscape with innovative content as follows (Section 4.1 ):

3.1 Main Components
• GANs (Generative Adversarial Networks) leverage the creative adversarial process between generative and discriminative networks to understand and replicate complex patterns, resulting in lifelike video samples.

3.1 Main Components
GANs (Generative Adversarial Networks) leverage the creative adversarial process between generative and discriminative networks to understand and replicate complex patterns, resulting in lifelike video samples.

3.1 Main Components
• VAEs (Variational Autoencoders) generate cohesive video sequences, providing a structured probabilistic framework for the seamless blending of frames that narratively make sense."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",17,research,"3.1 Main Components
VAEs (Variational Autoencoders) generate cohesive video sequences, providing a structured probabilistic framework for the seamless blending of frames that narratively make sense.

3.1 Main Components
• Autoregressive models create sequences where each video frame logically follows from the last, ensuring a narrative and visual continuity that captivates viewers.

3.1 Main Components
Autoregressive models create sequences where each video frame logically follows from the last, ensuring a narrative and visual continuity that captivates viewers.

3.1 Main Components
• Diffusion models convert intricate textual narratives into detailed and high-resolution videos, pushing the boundaries of text-to-video synthesis.

3.1 Main Components
Diffusion models convert intricate textual narratives into detailed and high-resolution videos, pushing the boundaries of text-to-video synthesis."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",18,research,"3.1 Main Components
Next, LLMs enhance video comprehension by providing contextually rich interpretations and descriptions, facilitating a deeper engagement with video content (Section 4.2 ):

3.1 Main Components
• Video captioning employs LLMs to generate insightful and accurate descriptions, capturing the essence of the visual content in natural language, making videos more searchable and accessible.

3.1 Main Components
Video captioning employs LLMs to generate insightful and accurate descriptions, capturing the essence of the visual content in natural language, making videos more searchable and accessible.

3.1 Main Components
• Video question answering harnesses the contextual understanding capabilities of LLMs to field complex viewer inquiries, providing responses that add value and depth to the viewing experience."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",19,research,"3.1 Main Components
Video question answering harnesses the contextual understanding capabilities of LLMs to field complex viewer inquiries, providing responses that add value and depth to the viewing experience.

3.1 Main Components
• Video retrieval and segmentation are revolutionized by LLMs, which parse and categorize video content into intelligible segments, streamlining the searchability and navigation of extensive video libraries.

3.1 Main Components
Video retrieval and segmentation are revolutionized by LLMs, which parse and categorize video content into intelligible segments, streamlining the searchability and navigation of extensive video libraries.

3.1 Main Components
Last but not least, LLMs can redefine the streaming landscape by optimizing bandwidth usage, personalizing content delivery, and enhancing viewer interaction from the following perspectives (Section 4.3 ):"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",20,research,"3.1 Main Components
• Bandwidth prediction is refined through LLMs that analyze past and present network data, predicting future demands to allocate resources proactively, thereby ensuring uninterrupted streaming.

3.1 Main Components
Bandwidth prediction is refined through LLMs that analyze past and present network data, predicting future demands to allocate resources proactively, thereby ensuring uninterrupted streaming.

3.1 Main Components
• Viewpoint prediction is augmented by LLMs’ comprehension of content and user behavior, anticipating the next focus area within a video to deliver a tailored and immersive viewing experience.

3.1 Main Components
Viewpoint prediction is augmented by LLMs’ comprehension of content and user behavior, anticipating the next focus area within a video to deliver a tailored and immersive viewing experience."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",21,research,"3.1 Main Components
• Video recommendation and resource allocation are advanced by the analytical prowess of LLMs, matching viewer preferences with content and managing network resources to deliver a customized and efficient streaming service.

3.1 Main Components
Video recommendation and resource allocation are advanced by the analytical prowess of LLMs, matching viewer preferences with content and managing network resources to deliver a customized and efficient streaming service."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",22,research,"4.1 Generative AI for Video Content Generation
Generative AI has emerged as a powerful tool for creating a wide range of content, including images, text, music, and video. For video content creation, generative models have the potential to revolutionize the way we create and consume video by automating the generation of realistic and high-quality content."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",23,research,"Generative models, especially deep learning-based generative models such as GANs, Variational Autoencoders (VAEs), autoregressive models, and diffusion-based models, have demonstrated remarkable success in generating realistic and diverse content in various domains. These models learn the underlying data distribution by training on large datasets, enabling the generation of samples that resemble the training data. Some of the SOTA generative models are listed in table 2. However, generative AI models face unique challenges in the context of video content generation due to the spatial-temporal property of videos, the requirement of photo-realistic dynamic scenes, and the considerable cost of processing video data.
Despite these challenges, significant progress has been made in developing generative models for video content creation. We now discuss them in detail."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",24,research,"4.1 Generative AI for Video Content Generation
GANs consist of a generator and a discriminator, which are trained in a two-player min-max game. The generator learns to generate realistic samples, while the discriminator learns to distinguish between generated samples (i.e., fake) and ground truth (GT) samples (i.e., real). For video generation, GANs have been extended to model temporal consistency and generate realistic video frames. An example is VideoGAN, introducing a two-stream architecture to separately model appearance and motion in videos. The generator produces video frames, while the discriminator evaluates the realism of individual frames and the motion between consecutive frames. This approach is successful in generating realistic videos of human actions and scenes."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",25,research,"4.1 Generative AI for Video Content Generation
Variational Autoencoders (VAEs) are generative models that learn a probabilistic mapping between the data space and a latent space by optimizing a variational lower bound on the data likelihood. In the context of video generation, VAEs have been adapted to model the temporal structure of videos and generate video sequences. One example is the Stochastic Video Generation (SVG) framework, which extends VAEs to model the distribution of future video frames conditioned on past frames. The SVG framework introduces a hierarchy of latent variables to capture the multi-scale nature of video data, enabling the generation of diverse and realistic video sequences."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",26,research,"4.1 Generative AI for Video Content Generation
Autoregressive models generate data by modeling the conditional distribution of each data point given its preceding data points. In the context of video generation, autoregressive models can be used to generate video frames sequentially, conditioning each frame on the previously generated frames. A prominent example is the Video Pixel Networks, an autoregressive model that extends the PixelCNN to model video data. VPN encodes video as a four-dimensional dependency chain, where the temporal dependency is captured using an LSTM and the space and color dependencies are captured using PixelCNN. Transformer, on the other hand, models the sequential data and performs well at many NLP and vision tasks. In contrast to GAN-based methods, autoregressive models can deal with both continuous and discrete data."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",27,research,4.1 Generative AI for Video Content Generation
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",28,research,"Diffusion models construct data generation as a denoising process. DMs have recently shown remarkable success in visual generation and achieved a notable state-of-the-art performance on most image-related synthesis or editing tasks. Video diffusion model (VDM) is the first work that introduces DMs to the domain of video generation by extending the U-net to a 3D version. Later, Imagen-Video, by taking the merit of its strong pretrained text-image generator Imagen, exhibits substantial capability in high-resolution text-video synthesis. It interplaces the temporal attention layer in serial spatial layers to capture the motion information. Make-a-Video is another powerful competitor in text-video synthesis by conditioning on the CLIP semantic space. It first generates the keyframes conditioning text prior information and then cascaded with several interpolations and upsampling diffusion model to achieve high consistency and fidelity"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",29,research,". However, both aforementioned pioneer works suffer from high computational costs, and Video LDM is proposed to alleviate the problem by generating motion-aware latent representations in a semantically compressed space."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",30,research,"4.2 LLMs for Video Scene Understanding
Video scene understanding is a task that aims to extract meaningful information from videos. It involves recognizing objects, activities, and events in a video and understanding the relationships between them. Generative AI and LLMs have emerged as promising approaches for video scene understanding due to their ability to learn from large amounts of data and generate natural language descriptions of video contents. In this paper, we discuss the use of LLMs for video scene understanding and review some of the techniques that have been proposed in recent years."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",31,research,"4.2 LLMs for Video Scene Understanding
Video scene understanding involves several subtasks, including object detection, action recognition, and event detection. Object detection aims to identify and localize objects in a video, while action recognition aims to recognize human actions such as walking, running, and jumping. Event detection aims to identify and classify events such as accidents, sports events, and concerts. These sub-tasks are challenging because videos are complex and dynamic, and the same object or action can appear in different ways and contexts."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",32,research,"4.2 LLMs for Video Scene Understanding
LLMs are neural network models that are trained on large amounts of text data to generate natural language text. These models have achieved impressive results in natural language processing tasks such as language translation, question-answering, and text generation. LLMs can also be used for video scene understanding by generating natural language descriptions of the video content. These descriptions can help to summarize the video content and provide insights into the objects, actions, and events in the video."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",33,research,"4.2 LLMs for Video Scene Understanding
Several methods have been proposed for using LLMs for different tasks in video scene understanding. Although different tasks hold different requirements regarding the way to use LLMs, we find they share some common components, such as temporal and semantic feature extraction from video clips, semantic and video feature alignment, etc., as illustrated in Fig. 3. In the following, we discuss some of these techniques and their advantages and limitations."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",34,research,"4.2 LLMs for Video Scene Understanding
Video Captioning is a task that involves generating natural language descriptions of the video content. This task can be approached using LLMs by training them on a large dataset of videos with corresponding captions. It involves two major steps. Firstly, the extracted visual and audio features are encoded into a fixed-length vector representation using the trained LLM. This encoding captures the essential information from the video and provides contextual cues for generating accurate captions. Then, the LLM generates textual descriptions or captions for the video. These captions can encompass a range of details, including objects, actions, events, or any other relevant information that describes the video content effectively."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",35,research,"4.2 LLMs for Video Scene Understanding
Video captioning using LLMs finds application in various areas, including enhancing accessibility for individuals with hearing impairments, facilitating video search and retrieval, generating video summaries, and improving overall understanding of video content.

4.2 LLMs for Video Scene Understanding
Video Question Answering is a task that involves answering natural language questions about the video content. This task can be approached using LLMs by training them on a large dataset of videos with corresponding questions and answers. The model learns to extract relevant information from the video content to answer the question. The advantage of this approach is that it can generate specific answers to specific questions. However, the limitations of this approach are that it requires large amounts of labeled data and it may not capture the context and complexity of the video content."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",36,research,"4.2 LLMs for Video Scene Understanding
Video Retrieval using LLMs refers to the process of searching and retrieving relevant videos from a large video database using advanced language models. LLMs are powerful neural network models that can understand and generate human-like text based on large amounts of training data. This task can be approached using LLMs by training them on a large dataset of videos with corresponding textual descriptions.
The representative approaches learn to associate the visual content of the video with the corresponding textual description, as depicted in Fig. 3. With the power of LLMs, it enables more accurate and efficient video retrieval, improving the user experience and enhancing the utility of video databases. However, the limitations of this approach are that it requires large amounts of labeled data and may not capture the fine-grained details of the video content."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",37,research,"4.2 LLMs for Video Scene Understanding
Video Segmentation, the task of segmenting objects or regions of interest in videos, can benefit from the application of LLMs. LLMs can aid in semantic video segmentation by leveraging their language understanding capabilities. By incorporating textual descriptions or prompts, LLMs can guide the segmentation process, providing high-level context and semantic understanding. For instance, LLMs can generate textual masks or descriptions that describe the desired object or region to be segmented, assisting in accurate and contextually relevant segmentation."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",38,research,"Moreover, video segmentation often requires temporal reasoning to accurately segment objects or regions over time. LLMs can be utilized to model long-range temporal dependencies and capture contextual information across video frames. By incorporating temporal cues into the language prompts or training LLMs with temporal objectives, they can facilitate temporal video segmentation, allowing for more coherent and consistent segmentations."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",39,research,"4.2 LLMs for Video Scene Understanding
In a nutshell, LLMs have emerged as a promising approach for video scene understanding due to their ability to learn from large amounts of data and generate natural language descriptions of the video content. The techniques discussed in this paper demonstrate the potential of LLMs for video scene understanding. However, these techniques also have limitations, such as the requirement for large amounts of labeled data and the inability to capture fine-grained details of the video content. Further research is needed to improve the performance of LLMs for video scene understanding and to overcome these limitations."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",40,research,"4.3 LLM for Video Streaming
Next, we explore how ChatGPT-like LLMs can enhance the video streaming experience from various perspectives. As illustrated in Fig. 4 1 1 1 Note that occasionally only part of this system is considered in a specific work., a typical video system consists of video capturing, video encoding (i.e., compression), video network transmission, video decoding, and video frame recovery. We first discuss the trending video formats with their featuring challenges. Then we summarize the potential of LLM for video streaming to tackle the challenges."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",41,research,"4.3 LLM for Video Streaming
LLMs for Bandwidth Prediction. The future bandwidth prediction is a fundamental issue for improving video transmission. Bandwidth data is temporal; currently, a significant amount of work relies on deep learning methods like LSTM and RNN. Large-scale forecasting models can offer substantial advantages in predicting time series, enabling better anticipation of future network conditions and serving as a cornerstone for video transmission. Moreover, in new environments where sample scarcity is a concern, effective utilization of LLMs and transfer learning techniques can produce promising results even with limited samples. For example, Azmin et al. presented a transformer-based model designed for 5G datasets, demonstrating significant enhancements compared to schemes relying solely on LSTM. They introduced novel feature analysis techniques, including LASSO and Random Forest with updated hyper-parameters, alongside the existing Random Forest with Informer."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",42,research,4.3 LLM for Video Streaming
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",43,research,"LLMs for Viewport Prediction. One critical aspect of the VR/360° and other immersive video systems is viewport prediction, which involves accurately anticipating the user’s next viewpoint within the virtual environment. This prediction is crucial for ensuring a seamless and responsive viewing experience. To enhance viewport prediction, we can leverage the capabilities of LLMs like the GPT-4, which have shown exceptional performance in NLP and generation tasks. By adapting such language models to handle video-related data, we can significantly improve view angle prediction accuracy. The process involves training the LLM on vast datasets containing video sequences, user interaction patterns, and positional data to learn complex patterns and dependencies in user behavior, resulting in better predictions for the user’s next view angle. For instance, the work by introduces a transformer-based approach for predicting viewports in 360° videos"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",44,research,". This technique focuses solely on analyzing past viewport scanpaths to achieve precise long-term viewport predictions while maintaining low computational complexity. In the study conducted by, transformers are incorporated to evaluate their efficacy in gaze estimation. By retaining convolutional layers and combining CNNs with transformers, the transformer functions as a complementary component to enhance the overall performance of CNNs, resulting in excellent performance. Additionally, combines gaze features with scene contexts and the visual characteristics of human–object pairs, through a spatiotemporal transformer to forecast human–object interactions in videos."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",45,research,"4.3 LLM for Video Streaming
Optimized Video Compression. LLMs can optimize video coding and compression, reducing file sizes and improving transmission efficiency.
For instance, put forward a masked image modeling transformer designed for deep video compression. Following the concept of a proxy task in pretrained language/image models, the transformer undergoes training to fully exploit temporal correlation among frames and spatial tokens within a few autoregressive steps. Meanwhile, introduced a transformer-based approach to neural video compression that is elegantly simple, surpassing previous methods in performance without relying on architectural priors such as explicit motion prediction or warping."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",46,research,"4.3 LLM for Video Streaming
Resource Allocation. In wireless communication networks, resource allocation is a critical task that involves efficiently distributing limited network resources such as bandwidth, power, and time slots among various users and applications. Video streaming, being one of the most data-intensive and popular applications, demands careful resource allocation to ensure smooth and high-quality video delivery to users."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",47,research,"4.3 LLM for Video Streaming
LLMs can process and analyze various textual inputs related to video streaming, including user preferences, video content descriptions, network conditions, and other contextual data. Using this information, LLMs can better understand user demands, video characteristics, and network requirements, to propose optimized resource allocation strategies. These strategies aim to prioritize and allocate resources in a way that maximizes the quality of video streaming, minimizes buffering or latency issues, and enhances the overall user experience.

4.3 LLM for Video Streaming
Moreover, LLMs can continuously learn from vast amounts of data, adapting their resource allocation decisions over time based on changing network conditions and user behavior. This adaptability allows the resource allocation process to be dynamic and responsive to real-time changes, leading to more efficient and adaptive video streaming services."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",48,research,5.1 Generation
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",49,research,"Video Synthesis. Generative AI models can be used to synthesize novel video content, enabling the creation of realistic scenes and special effects without manual intervention. Due to the inherent training instability of GANs, relatively fewer explorations have been conducted on GAN-based models for cross-modal video synthesis. TGAN, as an early attempt, utilizes GAN for video generation by first generating a latent representation using a temporal generator and decoding it into pixels using an image generator. NUWA, a transformer-based model, proposes a unified cross-modal generative model capable of accommodating various generative scenarios such as text-to-video, sketch-to-video, video prediction, and more. CogVideo extends the text-to-image model CogView by implementing a multi-frame-rate hierarchical training strategy to better align the text and video clips"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",50,research,". Recent diffusion-based models such as Imagen-Video and Make-a-Video have pushed the boundaries of video generation to a new level. However, these diffusion models suffer from a large number of parameters and complex cascaded networks, which greatly limit the community’s ability to develop them further. Compared to other approaches, Video LDM exhibits both efficiency and expressiveness. It achieves this by fine-tuning the publicly available Stable Diffusion (SD) Image LDM model using a vast dataset of 10.7 million video-caption pairs from the WebVid dataset. Text2Video-Zero takes this a step further by proposing a method that does not rely on video data. Instead, it employs pre-defined global translation parameters to warp the latent code and utilizes cross-attention with the start frame to obtain consistent and denoised frames. Video LDM and Text2Video-Zero have also emerged with the capability of personalized video generation"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",51,research,. Users can customize the concepts within the video using methods like Dreambooth.
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",52,research,5.1 Generation
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",53,research,"There are also works for domain-specific video synthesis tasks, such as audio-based video generation and human dancing video generation. SadTalker leverages a conditional VAE to synthesize head motion and realize stylized audio-driven talking face animation. DreamTalk utilizes a diffusion model to generate highly diverse talking heads based on the provided source audio or video. For human dancing video generation, the GAN-based pose-guided video generation model, EDN, is fine-tuned on image-pose pairs extracted from a specific human dancing video. It is capable of generating a person’s image conditioned on any open-set pose image. However, EDN faces challenges in efficiently and accurately reconstructing human attribute details without extensive pre-training. Discro addresses this issue by leveraging the current state-of-the-art pre-trained diffusion model and a structural conditioning technique"
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",54,research,". To enhance attribute details during inference, it employs Grounded-SAM for foreground extraction and pre-trains the model on an extensive human-attribute dataset, achieving improved compositional aspects in dance synthesis."
https://arxiv.org/html/2404.16038v1,"A Survey on Generative AI and LLM for Video Generation, Understanding, and Streaming",55,research,"5.1 Generation
Another line of research focuses on enhancing the smoothness of text-guided video generation by integrating current Large Language Models (LLMs). In order to better align visual tokenization with the learning process of LLMs, MAGVIT-v2 is proposed as a concise and expressive video tokenizer. This enables improved video generation performance of LLMs compared to diffusion-based models. VideoPoet, functioning as a versatile video generation model, utilizes a range of modal input tokenizers, including MAGVIT-v2, to facilitate video tokenization. It is capable of handling various video generation scenarios, involving the seamless conversion between video and other modalities such as text and audio."
